Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
WST,West Pharmaceutical Services,387.42,-0.97,-0.25%,388.64,386.83,3037,09:43 ET
WTW,Willis Towers Watson Public Ltd,273.74,0.02,0.01%,273.74,272.71,7009,09:45 ET
WY,Weyerhaeuser Company,35.69,0.2,0.56%,35.695,35.5901,80564,09:46 ET
WYNN,Wynn Resorts Ltd,100.39,0.98,0.99%,100.37,99.8,18239,09:45 ET
XEL,XCEL Energy Inc,52.52,0.04,0.08%,52.51,52.4031,25699,09:46 ET
XOM,Exxon Mobil Corp,114.39,-0.26,-0.23%,114.92,114.59,39065,09:46 ET
XRAY,Dentsply Sirona Inc,32.9,0.06,0.18%,32.91,32.91,4628,09:43 ET
XYL,Xylem Inc,128.02,0.26,0.20%,127.71,127.26,13081,09:45 ET
YUM,Yum! Brands,134.77,0.15,0.11%,135.35,134.78,7336,09:46 ET
ZBH,Zimmer Biomet Holdings,128.43,0.52,0.41%,128.37,128.37,6404,09:44 ET
ZBRA,Zebra Technologies,300.28,2.34,0.79%,300.77,299.465,6160,3/26/2024
ZTS,Zoetis Inc Cl A,165.85,-1.96,-1.17%,169.23,167.04,106815,09:46 ET
